source_center,destination_center,mean_delay_ratio,delay_variance,avg_distance,avg_actual_time,sla_breach_rate,trip_count
79,79,2.4256928353378204,2.387585247994191,71.10528333333333,146.66666666666666,1.0,6
79,84,2.798529411764706,0.24294550173010349,31.2817,78.0,1.0,2
79,85,2.9778637770897833,1.0956391000265184,33.67015,82.75,1.0,4
80,79,2.2287246931980995,0.7765259737640064,45.97852222222222,84.66666666666667,1.0,9
80,82,1.6739756094461977,0.06199569445656149,34.41014,49.7,1.0,10
81,79,2.3866721639025523,1.5788074320689827,43.26444444444444,83.5,1.0,18
81,82,1.5056277056277056,0.012074736230580396,32.244725,39.0,1.0,4
82,88,1.8662080011499707,0.05283886439932593,43.40331666666666,69.72222222222223,1.0,18
83,144,2.9194395065718597,0.29873795141098547,19.956018750000002,41.5,1.0,16
84,135,1.2794083879341362,0.34046756326957206,21.95744255319149,30.80851063829787,0.46808510638297873,47
85,97,1.4665473372306397,0.1534150766214127,37.90447678571429,48.32142857142857,0.7678571428571429,56
85,135,3.5368520223009385,0.6698200328332169,30.87056,94.4,1.0,5
86,140,2.354528916624199,0.1582987640916763,49.932611111111115,90.5,1.0,36
87,83,1.8727867996775558,0.2920346216437904,32.15408571428571,55.04761904761905,1.0,42
88,91,1.397820265042052,0.008749128163947262,25.956986363636364,34.22727272727273,1.0,44
89,89,2.0491907294670804,0.02177088788693624,26.57582954545455,38.13636363636363,1.0,44
90,93,1.7609736201295505,0.023844702593166747,33.821342105263156,46.973684210526315,1.0,38
91,135,1.4432371102820227,0.07985027151828715,77.75780117647058,110.50588235294117,0.8705882352941177,85
92,92,1.826085589703602,0.13601540238889817,25.72667142857143,42.38095238095238,1.0,42
92,99,1.9664594177752073,0.10876399166686182,15.151436842105262,28.18421052631579,1.0,38
93,5,2.1801756955276086,0.3780746064473542,55.405300000000004,88.25,0.9166666666666666,12
93,104,1.607357173889432,0.006724265122955135,37.562466666666666,42.77777777777778,1.0,9
93,118,1.4057971014492754,0.010501995379122013,27.50215,27.0,1.0,2
94,95,1.2265227054773238,0.18172445539305043,30.64127142857143,31.642857142857142,0.35714285714285715,14
95,135,2.0213773971126914,1.0688764650165494,15.663357142857143,31.535714285714285,0.6785714285714286,28
96,135,1.3263102166980512,0.17359870039671932,35.324807142857146,46.857142857142854,0.5714285714285714,84
96,138,1.8456867315690846,0.16824399257756367,12.6506925,24.65,1.0,40
97,5,1.8736388611388612,0.46376473658352485,14.2983125,19.0,0.75,8
97,100,0.8970588235294117,0.021193771626297597,35.04075,37.0,0.0,2
97,103,1.681742338105004,0.05992626277799937,34.55657380952381,42.26190476190476,1.0,42
98,5,1.8181818181818181,0.0,15.531,20.0,1.0,2
99,5,1.276273644498045,0.0973317785330845,45.95950277777778,65.0,0.5833333333333334,36
100,5,1.4563827787070793,0.09586749693339863,30.215262962962964,44.51851851851852,0.8148148148148148,27
101,124,1.9597912302751013,0.7280924519540503,59.53784999999999,109.25,1.0,4
101,130,1.692624803909912,0.12629651290546148,55.39368275862069,71.76724137931035,1.0,116
102,5,2.511111111111111,0.13787037037037048,46.275800000000004,89.33333333333333,1.0,3
102,100,1.4349322380024134,0.01579804873740932,23.807261111111114,50.888888888888886,1.0,18
103,5,1.9494259545923633,0.181936864484327,28.401175,38.25,1.0,12
104,107,2.0805275603495774,0.2290488379526228,56.868246052631584,88.78947368421052,1.0,76
105,108,1.9239073787409702,0.21131641201864423,24.590486666666667,35.43333333333333,1.0,30
106,5,2.2853405397910733,0.1901958210272371,53.560968115942025,87.73913043478261,1.0,69
106,105,1.4701555534240645,0.03884626490309345,60.39848823529412,66.91176470588235,0.8970588235294118,68
106,109,1.921029291221599,1.2466596099256788,13.184611538461537,21.384615384615383,0.7692307692307693,26
