node,in_degree,out_degree,betweenness,pagerank
113.0,2,2,0.031027458023915825,0.00022232175072295894
156.0,1,1,0.0014321964531761719,0.00021867729315908102
157.0,2,1,0.030813697359262666,0.0005033323099432601
114.0,2,2,0.000943785722423194,0.00021591403405105995
117.0,2,2,0.0009044748123136831,0.00018390911523100665
115.0,2,3,0.0009014789242105895,0.00014262869148444677
120.0,2,2,0.033406436087618285,0.00031124063916886124
116.0,2,2,1.2145492309838633e-07,0.0001325714804571192
119.0,1,2,0.00047918015659750027,0.0002074541718589684
121.0,1,2,0.032405768976210676,0.0002571688935965195
122.0,1,1,0.000477844152443418,0.00025835819665574706
123.0,1,1,0.000435092019512786,0.00031973115520501097
125.0,1,1,0.000477844152443418,0.00029448351899206943
126.0,1,1,0.045736383081618266,0.00020974623931515045
127.0,1,1,0.000435092019512786,0.0003504665797887276
128.0,1,1,0.045693630948687634,0.00027837210144214655
134.0,1,29,0.045650878815757,0.00033663611429816335
129.0,1,7,0.0,0.000112143752481927
131.0,1,1,1.4844490600913886e-07,0.00010649353258418912
132.0,2,2,1.4844490600913886e-07,0.00017184763729414932
133.0,1,1,1.4844490600913886e-07,0.00010905918298723931
137.0,1,1,1.2145492309838633e-07,0.00011353335788282263
139.0,1,1,1.2145492309838633e-07,0.00011051497601699545
141.0,2,2,0.0,0.0002204505487718877
143.0,2,1,0.0009654856686834392,0.0003478092221353523
145.0,1,1,1.2145492309838633e-07,0.00010720076842460901
152.0,2,1,1.9027937952080525e-06,0.000435540304860556
161.0,3,1,0.0028911129894339887,0.0002480966580148947
164.0,2,1,0.0009574696437589456,0.0001322849496795674
136.0,1,1,0.0,0.00018669141677995054
142.0,1,1,0.0004894228551121308,0.00020721895400866743
148.0,1,1,9.797363796603164e-06,0.0002761477258947569
153.0,1,1,0.00048407883849580185,0.00039566689840077367
146.0,1,1,6.2346860523838326e-06,0.0003859585704250672
147.0,1,1,0.0009699390158637133,0.00027812809721047404
149.0,1,1,0.000488532185676076,0.00033641746246540765
150.0,1,1,8.906694360548332e-07,0.00025470054687109237
151.0,1,1,0.0014504551766152958,0.00020956189415391062
159.0,1,1,1.7813388721096664e-06,0.00043634332581934026
154.0,1,1,0.0013039400543842757,0.00039168164441645234
155.0,1,1,0.0013466921873149078,0.0003430444219962979
158.0,1,1,0.0013894443202455398,0.0002859038772937871
160.0,1,2,0.002412823502272543,0.0003108919977959303
162.0,3,1,0.00048407883849580185,0.00034554376043126296
165.0,3,4,1.2024037386740248e-05,0.0005389652605537122
163.0,1,3,0.0,0.00016519635090158174
166.0,1,4,5.344016616329e-06,0.00011328932355274343
168.0,1,2,2.6720083081645e-06,0.00012384139141125052
170.0,1,5,0.0,0.00014264193499590464
259.0,2,2,2.226673590137083e-07,0.00018709842437885797
260.0,2,2,2.226673590137083e-07,0.00020292662015283488
174.0,2,3,0.0009981435480054498,0.0007346853993444902
176.0,2,1,2.0040062311233746e-05,0.0004695850834421985
181.0,1,1,0.0004953606513524964,0.0003207249325023796
177.0,1,1,0.0,0.00013592090949082912
179.0,1,1,0.0014737610268587308,0.0005543730629099943
180.0,1,4,0.0025200996876818134,0.0002907968531726389
186.0,3,1,0.001217842008898975,0.0003834095189867166
191.0,1,1,3.3400103852056245e-06,0.00015176069099092645
185.0,1,1,1.7516498909078387e-05,0.00037262346106142763
182.0,2,1,0.0019484878362759565,0.000534555138114527
183.0,1,1,0.0025628518206124466,0.00022446653251809168
184.0,1,2,0.0038100859209012315,0.00027426216153795705
187.0,1,2,0.0010459640141555365,0.00011929644252747773
188.0,1,1,1.7813388721096663e-05,0.0004021735721271281
190.0,1,1,1.8704058157151498e-05,0.0004418475364371299
189.0,1,5,0.0008363386004554882,0.00010820626996791082
201.0,2,1,0.0004983295494726792,0.001107073017465038
202.0,1,1,0.00021789591560627172,0.00011423874477243489
330.0,2,1,2.0040062311233746e-05,0.0005049751017661221
192.0,2,1,1.6032049848986997e-05,0.00035549832009151627
193.0,1,1,0.0,0.0006666666666666666
194.0,1,1,1.33600415408225e-06,0.00011322502868725879
195.0,1,1,5.344016616329e-06,0.00010917816656961891
196.0,1,1,1.33600415408225e-06,0.0001281983378458444
197.0,1,1,4.453347180274166e-07,0.00011714350275405392
198.0,1,1,8.906694360548332e-06,0.0010410161301152587
