source_center,destination_center,recommended_route_type,delay_ratio,sla_breach,trip_uuid
140,142,Carting,3.2189458689458688,1.0,5
862,858,Carting,3.2161685297622165,0.9615384615384616,26
1393,1363,Carting,3.208931419457735,1.0,2
834,799,Carting,3.206517251655834,1.0,8
1219,6,FTL,3.2016348773841963,1.0,1
1225,1241,Carting,3.2003598740440844,1.0,13
1308,1292,Carting,3.2,1.0,1
537,600,Carting,3.1905260140986784,1.0,51
140,144,Carting,3.1875,1.0,2
314,311,Carting,3.1858974358974357,1.0,4
550,550,Carting,3.185841759571342,1.0,4
207,200,Carting,3.185720975144967,0.9375,16
391,327,Carting,3.1853888323337465,1.0,21
1147,1125,Carting,3.1835854306105538,0.9523809523809523,21
1041,1014,Carting,3.180207674352627,1.0,112
1460,1441,Carting,3.1786848072562357,1.0,7
1287,1202,Carting,3.177313065846345,1.0,53
114,135,Carting,3.172391012345647,0.6923076923076923,13
528,518,Carting,3.164128697254965,1.0,116
204,197,Carting,3.1567412400261237,0.875,16
647,644,Carting,3.151296480598378,1.0,110
528,600,Carting,3.148321528311121,1.0,175
1497,1470,Carting,3.1458555453943986,0.9666666666666667,30
21,600,Carting,3.144406938550065,1.0,28
222,317,Carting,3.1441690941225566,1.0,8
629,634,Carting,3.1435337538278714,1.0,34
21,554,Carting,3.14140678619626,1.0,25
525,525,Carting,3.139043410006143,1.0,14
48,50,Carting,3.1382478632478636,1.0,6
1358,1336,Carting,3.1333333333333333,1.0,2
1201,1182,Carting,3.1333333333333333,1.0,1
1040,1014,Carting,3.130293477889632,1.0,26
281,283,Carting,3.125,1.0,1
1193,1180,Carting,3.121212121212121,0.6666666666666666,3
237,314,Carting,3.1199473180076627,1.0,6
1277,13,Carting,3.1153846153846154,1.0,3
1421,1399,Carting,3.1136363636363638,1.0,6
8,335,Carting,3.1127450980392157,1.0,3
181,185,Carting,3.1125495202261506,1.0,16
229,224,Carting,3.1078062066932035,1.0,50
524,524,Carting,3.0947547822547823,1.0,24
1321,1202,Carting,3.0944112630549108,1.0,63
196,178,Carting,3.0941120611527695,0.8571428571428571,21
528,535,Carting,3.0904761904761906,1.0,2
1487,1469,Carting,3.0897118755640496,1.0,25
770,762,Carting,3.0868455245104545,1.0,9
566,0,Carting,3.0858480978166067,1.0,37
1424,1407,Carting,3.085769230769231,1.0,4
1381,1357,Carting,3.07979797979798,1.0,11
314,309,Carting,3.0784313725490198,1.0,2
189,187,Carting,3.0775241880770885,1.0,19
529,517,Carting,3.0774712647982545,1.0,34
473,475,Carting,3.0774410774410774,1.0,3
712,712,Carting,3.0719696969696972,1.0,4
149,146,Carting,3.071472223757924,1.0,16
511,503,Carting,3.0709706959706957,1.0,12
1389,1370,Carting,3.0693223443223445,1.0,10
989,978,Carting,3.0631115072291544,1.0,6
32,169,Carting,3.062283518330077,1.0,22
21,552,Carting,3.0588235294117645,1.0,2
1467,1442,Carting,3.050629779577148,1.0,13
526,523,Carting,3.0483682983682985,1.0,4
1057,1048,Carting,3.0462801087801092,1.0,11
1214,1290,Carting,3.036309523809524,1.0,4
115,135,Carting,3.0338660230842027,0.7777777777777778,9
724,723,Carting,3.029166666666667,1.0,8
528,519,Carting,3.026143790849673,1.0,2
68,73,Carting,3.0226587424672102,0.75,4
1410,1393,Carting,3.0222816399286985,1.0,11
473,474,Carting,3.0222222222222226,1.0,11
541,523,Carting,3.0214778503994193,1.0,9
638,639,Carting,3.0213860544217686,1.0,14
305,302,Carting,3.019157663065226,1.0,7
1295,1202,Carting,3.0146244064126324,1.0,20
1266,1251,Carting,3.013257575757576,1.0,22
878,873,Carting,3.009194189847932,1.0,12
1491,1475,Carting,3.0080909248709085,1.0,84
580,642,Carting,3.004457716757969,1.0,12
673,664,Carting,3.0031586648983395,1.0,15
862,860,Carting,3.003063725490196,1.0,4
171,173,Carting,3.0020588235294117,1.0,10
167,169,Carting,3.001569858712716,1.0,7
34,30,Carting,3.0,1.0,1
1345,1328,Carting,3.0,1.0,2
1399,1359,Carting,2.9987493756910326,1.0,8
1294,1280,Carting,2.996613890885136,1.0,44
1219,1246,Carting,2.9960611705544293,1.0,36
718,231,Carting,2.994590650001278,1.0,9
1264,1258,Carting,2.9917634996582363,1.0,9
528,534,Carting,2.9912478192269463,1.0,155
369,357,Carting,2.989313861937627,1.0,331
985,963,Carting,2.987522126826367,1.0,52
1090,1075,Carting,2.987089239263152,0.75,4
602,602,Carting,2.9840277777777775,1.0,12
1140,1134,Carting,2.979551582640778,1.0,85
79,85,Carting,2.9778637770897833,1.0,4
1208,1291,Carting,2.976951496779083,1.0,12
950,941,Carting,2.9714285714285715,1.0,2
383,46,Carting,2.970569861680623,1.0,78
1315,1300,Carting,2.9696296296296296,1.0,4
965,908,Carting,2.9689283677609954,1.0,13
541,600,Carting,2.963887233476688,1.0,43
78,79,Carting,2.9612557033609668,1.0,6
635,628,Carting,2.9570911820911823,1.0,37
395,339,Carting,2.955796398589459,1.0,24
76,280,Carting,2.9545454545454546,1.0,1
530,600,Carting,2.9523665891372572,1.0,276
1288,1243,Carting,2.951913664671527,1.0,44
615,615,Carting,2.9514652014652016,1.0,4
1411,1389,Carting,2.9508110936682366,1.0,14
597,591,Carting,2.948529127968155,1.0,16
231,231,Carting,2.9476190476190474,1.0,3
1160,1136,Carting,2.945,1.0,4
220,220,Carting,2.94339738851934,1.0,3
357,340,Carting,2.941887533819522,0.9444444444444444,36
1151,1143,Carting,2.9395915421366983,1.0,21
1211,1202,Carting,2.939524409888395,1.0,27
1375,1355,Carting,2.9385793714132564,1.0,10
706,1438,Carting,2.9365387464824124,1.0,12
1497,1473,Carting,2.935999702911467,1.0,22
345,344,Carting,2.934778604698761,1.0,38
742,730,Carting,2.933333333333333,1.0,1
516,511,Carting,2.930898730898731,1.0,30
300,300,Carting,2.927900137232971,1.0,6
1300,1275,Carting,2.9253446606215117,1.0,56
1233,1222,Carting,2.9251235971852942,1.0,4
1323,1310,Carting,2.92137512029882,1.0,21
515,600,Carting,2.920501690183247,1.0,43
1299,1270,Carting,2.9194805361300964,1.0,72
83,144,Carting,2.9194395065718597,1.0,16
225,222,Carting,2.9166666666666665,1.0,1
1238,1219,Carting,2.9126984126984126,1.0,3
730,744,Carting,2.912628936510924,1.0,21
1353,1366,Carting,2.9119920852066667,1.0,89
955,940,Carting,2.9095996732026146,1.0,10
313,310,Carting,2.909090909090909,1.0,1
45,43,Carting,2.909090909090909,1.0,2
510,600,Carting,2.901204776182859,1.0,30
341,345,Carting,2.9,1.0,2
1287,1243,Carting,2.8983479906689182,1.0,28
21,530,Carting,2.8903508771929824,1.0,2
58,65,Carting,2.8903507403507405,1.0,6
792,782,Carting,2.890319486167332,1.0,72
1447,1427,Carting,2.8901653171390014,1.0,4
1288,1202,Carting,2.8844006774799076,1.0,32
520,524,Carting,2.8801138440211385,1.0,107
210,200,Carting,2.877177026035639,1.0,25
603,528,Carting,2.8771198795627315,0.9939759036144579,166
1217,1198,Carting,2.8732838589981444,1.0,49
1285,1275,Carting,2.8712072050507125,1.0,65
697,690,Carting,2.870907966302703,1.0,4
10,745,Carting,2.870285652461324,1.0,31
1460,1439,Carting,2.870148315736551,1.0,39
185,173,Carting,2.8673453713008668,0.99,100
603,534,Carting,2.8644822639381715,1.0,154
603,525,Carting,2.8596380467287417,1.0,110
64,69,Carting,2.857142857142857,1.0,2
28,172,Carting,2.8540388129277017,1.0,9
1486,1474,Carting,2.852312719959779,1.0,3
1388,1369,Carting,2.8520373290776075,1.0,24
28,1332,Carting,2.848636180016232,1.0,68
603,16,Carting,2.8480578686615594,1.0,97
379,386,Carting,2.84598580174958,1.0,56
72,81,Carting,2.843431467304528,1.0,20
1028,1009,Carting,2.8424115675160784,1.0,160
1419,1397,Carting,2.8414825422804144,1.0,4
1037,1022,Carting,2.840905572755418,1.0,8
1386,1368,Carting,2.834852308018069,1.0,16
564,567,Carting,2.8316903684550745,1.0,4
1285,1274,Carting,2.8296879068738967,1.0,38
58,66,Carting,2.8281694738216476,1.0,6
345,343,Carting,2.8280069504034553,1.0,55
441,441,Carting,2.8241758241758244,1.0,2
1349,1332,Carting,2.8238517356164414,1.0,6
1235,1226,Carting,2.8113553113553116,1.0,3
1380,1356,Carting,2.810059530913218,1.0,105
739,733,Carting,2.8082691118405405,1.0,14
279,79,Carting,2.802132285364369,1.0,117
15,23,Carting,2.801445580067703,0.9411764705882353,51
1033,1017,Carting,2.8,1.0,5
79,84,Carting,2.798529411764706,1.0,2
903,895,Carting,2.7967138108718106,1.0,34
226,220,Carting,2.795138888888889,1.0,2
712,713,Carting,2.79377990430622,1.0,5
558,16,Carting,2.791155209647212,1.0,72
1282,1271,Carting,2.789473684210526,1.0,1
500,659,Carting,2.788126461367408,1.0,22
898,905,Carting,2.787865137865138,1.0,37
1461,703,Carting,2.786300505050505,1.0,6
1259,1242,Carting,2.7839667126818832,1.0,45
362,357,Carting,2.7804474929474927,1.0,4
178,173,Carting,2.7798287786774627,1.0,16
511,506,Carting,2.7797129953379955,1.0,8
272,277,Carting,2.773782711282711,1.0,4
61,410,Carting,2.7730344385476005,0.9,20
203,205,Carting,2.770005668351257,1.0,44
61,25,Carting,2.7695872728031263,1.0,77
34,17,Carting,2.7692307692307687,1.0,3
924,899,Carting,2.7631918976512275,1.0,34
657,643,Carting,2.7580061264271793,1.0,3
878,870,Carting,2.7568489500053297,1.0,6
163,163,Carting,2.752774242050694,1.0,21
1323,1311,Carting,2.7497179726469034,1.0,81
566,575,Carting,2.7467303902077833,1.0,12
660,621,Carting,2.7456918767507004,1.0,25
1406,1366,Carting,2.7456070966863986,1.0,4
339,57,Carting,2.7452618868060044,1.0,8
1298,1274,Carting,2.7449737322802337,1.0,17
1238,1215,Carting,2.7444444444444445,1.0,5
306,308,Carting,2.7440621066177964,1.0,48
787,786,Carting,2.742436791603458,1.0,18
1364,1373,Carting,2.740295226075154,1.0,15
170,168,Carting,2.738782051282051,0.6666666666666666,3
300,299,Carting,2.738368695867256,1.0,24
9,745,Carting,2.73448302660039,1.0,94
615,614,Carting,2.734391534391534,1.0,24
76,25,Carting,2.73357999459418,1.0,30
1035,1022,Carting,2.7313876257841776,1.0,12
1353,1202,Carting,2.729786226976683,1.0,111
1377,1360,Carting,2.7283251231527093,1.0,29
1251,1212,Carting,2.7279411764705883,1.0,2
1048,1100,Carting,2.727784026421506,1.0,39
962,954,Carting,2.7271255060728747,1.0,3
44,46,Carting,2.725527736152736,1.0,20
510,562,Carting,2.7244950473618323,0.9527027027027027,148
1300,1274,Carting,2.724475161599642,1.0,25
223,217,Carting,2.71875,1.0,2
1371,1352,Carting,2.718219759168035,1.0,6
157,112,Carting,2.7170859164478336,0.46153846153846156,39
1398,1356,Carting,2.7157580085908686,1.0,26
187,178,Carting,2.7156584045639516,1.0,4
583,562,Carting,2.713281826500723,1.0,6
673,667,Carting,2.710647062687879,1.0,49
511,504,Carting,2.7094252393127825,1.0,34
1219,1275,Carting,2.7086517882810135,1.0,24
543,601,Carting,2.7085711663627485,1.0,58
1208,1195,Carting,2.7082503556187767,1.0,5
