source_center,destination_center,mean_delay_ratio,delay_variance,avg_distance,avg_actual_time,sla_breach_rate,trip_count,corridor_risk,corridor
IND421601AAB,IND421302AAG,3.6454750705427594,4.06209993456399,30.706624137931037,83.67241379310344,1.0,58,2.9768200085863006,IND421601AAB → IND421302AAG
IND274301AAB,IND273014AAB,4.7120421660050145,2.6222094385610317,41.43983,139.73333333333332,1.0,30,2.9714796979703153,IND274301AAB → IND273014AAB
IND500039AAC,IND501359AAE,3.515088897008207,4.224278549117977,25.44805806451613,80.06451612903226,0.967741935483871,31,2.9636417041838374,IND500039AAC → IND501359AAE
IND121102AAA,IND121004AAB,4.103999274407539,3.2771404915791633,28.432715686274513,89.0,1.0,51,2.9247418572367647,IND121102AAA → IND121004AAB
IND700026AAC,IND712311AAA,3.79251592542769,3.6740197997026405,25.702980000000004,109.6,1.0,10,2.9192123100818685,IND700026AAC → IND712311AAA
IND462001AAA,IND462022AAA,4.116130096318775,3.227911276151181,12.714928301886793,50.35849056603774,1.0,53,2.914825421372864,IND462001AAA → IND462022AAA
IND562114AAA,IND560067AAC,4.218549127640037,2.987533980762631,11.47180909090909,41.81818181818182,1.0,11,2.883679845284804,IND562114AAA → IND560067AAC
IND110020AAB,IND110037AAM,3.449539993018254,3.9408795851038136,22.329922222222223,65.44444444444444,1.0,9,2.8620798727384456,IND110020AAB → IND110037AAM
IND821109AAA,IND802213AAB,5.682915088383839,0.9567876831877252,35.321933333333334,138.41666666666666,1.0,24,2.8602023403098533,IND821109AAA → IND802213AAB
IND131028AAB,IND132103AAA,3.4643895530992306,3.8663776461115695,45.18013333333334,136.66666666666666,1.0,6,2.8456691150731634,IND131028AAB → IND132103AAA
IND585314AAA,IND585104AAA,3.3169300007157823,4.067851798379806,28.158228985507247,92.4927536231884,0.9855072463768116,69,2.8427797137132984,IND585314AAA → IND585104AAA
IND110043AAA,IND000000ACB,3.50748158312468,3.7998682296405786,30.465863157894738,105.3157894736842,0.9473684210526315,19,2.827163628457835,IND110043AAA → IND000000ACB
IND400015AAB,IND400072AAB,4.209617860353155,2.7959101028470035,17.741041666666668,63.666666666666664,1.0,12,2.8226201749953628,IND400015AAB → IND400072AAB
IND700136AAG,IND712310AAA,4.757260192297471,2.045958475470874,18.46810612244898,69.59183673469387,1.0,49,2.8166916195602503,IND700136AAG → IND712310AAA
IND370001AAA,IND370201AAA,5.579009155096112,0.9252592136901829,42.52726666666666,198.0,1.0,3,2.8091814261454995,IND370001AAA → IND370201AAA
IND632006AAA,IND632402AAA,3.537878787878788,3.596363683214332,23.885971428571427,82.0,1.0,7,2.7940606201158147,IND632006AAA → IND632402AAA
IND585307AAB,IND585104AAA,3.695456210600512,3.325500463436747,44.46820660377358,167.28301886792454,1.0,106,2.775832623271229,IND585307AAB → IND585104AAA
IND486661AAA,IND211002AAB,4.698342874663162,1.9773162402822198,128.38694285714286,453.0952380952381,1.0,21,2.7725320219499303,IND486661AAA → IND211002AAB
IND575004AAB,IND574211AAA,2.9095996732026146,4.356954651300425,24.87108,50.0,1.0,10,2.770926264671173,IND575004AAB → IND574211AAA
IND211002AAB,IND211013AAA,5.533029878618114,0.8464190942580734,16.917258823529412,66.23529411764706,1.0,17,2.7671376797246676,IND211002AAB → IND211013AAA
IND201301AAD,IND110037AAM,5.17957468280049,1.2891572062643926,26.542833333333334,128.33333333333334,1.0,6,2.7585770349995133,IND201301AAD → IND110037AAM
IND425405AAA,IND424006AAA,3.811258703581165,3.1117385270216884,47.28501666666667,119.66666666666667,1.0,6,2.7580250395389725,IND425405AAA → IND424006AAA
IND834002AAB,IND827013AAA,4.404903983728372,2.311629374899629,66.45764497041421,223.27810650887574,1.0,169,2.7554504059612372,IND834002AAB → IND827013AAA
IND600004AAA,IND600008AAC,5.275961538461539,1.1097472879684416,14.179424999999998,72.25,1.0,4,2.743308801775148,IND600004AAA → IND600008AAC
