node,in_degree,out_degree,betweenness,pagerank,bottleneck_score
IND505302AAB,2,3,0.002202400677087791,0.00040700274537291026,0.9010030610944469
IND573116AAA,1,3,0.002006172500843068,0.00036047913930029984,0.9009106127421272
IND563131AAB,3,3,0.0014056008971266927,0.0009153380427275737,0.9008368417716689
IND390020AAA,3,3,0.0012062637935789313,0.0011213767876329284,0.9008189185537213
IND465001AAA,1,3,0.001607132537594246,0.0005551378195375917,0.9008093943608989
IND600008AAC,3,3,0.0012066295497322299,0.0010623657435677003,0.9008013615429631
IND147001AAD,2,3,0.001607498293747545,0.0004319340791927711,0.9007725795412568
IND673592AAA,2,3,0.0012113843797251123,0.000838051575920113,0.900735969224666
IND425406AAA,2,3,0.0012256488697037595,0.0006699805933487034,0.900691253725886
IND854334AAA,2,3,0.0014040464334751734,0.0004314286996812065,0.9006910471832943
IND732138AAA,1,3,0.001212847404338307,0.0005042270542550539,0.9006364070780117
IND584101AAA,2,3,0.0012069953058855285,0.0004626306876351788,0.9006215873286447
IND508207AAB,3,3,0.0009092985350839094,0.0008179940988586793,0.9006091176436911
IND414001AAA,1,3,0.0012048007689657366,0.0003573279843966006,0.9005891187029051
IND181152AAB,3,3,0.000804663537257019,0.0008258625465550935,0.9005696241788692
IND505326AAB,2,3,0.001003086250421534,0.0004427391385141815,0.9005340562417228
IND110064AAA,2,3,0.000804663537257019,0.0006270891064141056,0.9005099921468269
IND563101AAB,2,3,0.0010021718600382874,0.0003310939138132514,0.9005001969181592
IND560043AAC,4,3,0.0008050292934103177,0.0005836811967434661,0.900497116076387
IND328001AAA,3,3,0.0008438991973381461,0.0005062734341089312,0.9004894417091679
IND425412AAA,4,3,0.000410561282077729,0.0010822243963572317,0.9004888918317382
IND370001AAA,2,3,0.0008072238303301095,0.00047558584394405705,0.9004655652853152
IND246761AAA,1,3,0.000803566268797123,0.000434883311987608,0.900451891501115
IND413709AAA,4,3,0.0005354060490703188,0.0007848423199411513,0.9004496151156104
IND380005AAA,1,3,0.000803566268797123,0.00038930039903796844,0.9004382166272301
IND591307AAC,1,3,0.0008075895864834082,0.0003100915529268941,0.9004160633004713
IND423109AAA,3,3,0.0005350402929170203,0.0006632744579588761,0.9004129984545544
