source_center,destination_center,mean_delay_ratio,delay_variance,avg_distance,avg_actual_time,sla_breach_rate,trip_count,corridor_risk,estimated_revenue_risk
670,668,4.116130096318775,3.227911276151181,12.714928301886793,50.35849056603774,1.0,53,2.914825421372864,26500.0
913,891,4.218549127640037,2.987533980762631,11.47180909090909,41.81818181818182,1.0,11,2.883679845284804,5500.0
23,25,3.449539993018254,3.9408795851038136,22.329922222222223,65.44444444444444,1.0,9,2.8620798727384456,4500.0
1439,1392,5.682915088383839,0.9567876831877252,35.321933333333334,138.41666666666666,1.0,24,2.8602023403098533,12000.0
76,84,3.4643895530992306,3.8663776461115695,45.18013333333334,136.66666666666666,1.0,6,2.8456691150731634,3000.0
999,987,3.3169300007157823,4.067851798379806,28.158228985507247,92.4927536231884,0.9855072463768116,69,2.8427797137132984,34000.0
30,6,3.50748158312468,3.7998682296405786,30.465863157894738,105.3157894736842,0.9473684210526315,19,2.827163628457835,9000.0
522,523,4.209617860353155,2.7959101028470035,17.741041666666668,63.666666666666664,1.0,12,2.8226201749953628,6000.0
1213,1200,4.757260192297471,2.045958475470874,18.46810612244898,69.59183673469387,1.0,49,2.8166916195602503,24500.0
469,468,5.579009155096112,0.9252592136901829,42.52726666666666,198.0,1.0,3,2.8091814261454995,1500.0
1113,1102,3.537878787878788,3.596363683214332,23.885971428571427,82.0,1.0,7,2.7940606201158147,3500.0
998,987,3.695456210600512,3.325500463436747,44.46820660377358,167.28301886792454,1.0,106,2.775832623271229,53000.0
715,208,4.698342874663162,1.9773162402822198,128.38694285714286,453.0952380952381,1.0,21,2.7725320219499303,10500.0
955,940,2.9095996732026146,4.356954651300425,24.87108,50.0,1.0,10,2.770926264671173,5000.0
212,210,5.533029878618114,0.8464190942580734,16.917258823529412,66.23529411764706,1.0,17,2.7671376797246676,8500.0
173,25,5.17957468280049,1.2891572062643926,26.542833333333334,128.33333333333334,1.0,6,2.7585770349995133,3000.0
624,616,3.811258703581165,3.1117385270216884,47.28501666666667,119.66666666666667,1.0,6,2.7580250395389725,3000.0
1454,1425,4.404903983728372,2.311629374899629,66.45764497041421,223.27810650887574,1.0,169,2.7554504059612372,84500.0
1017,1009,5.275961538461539,1.1097472879684416,14.179424999999998,72.25,1.0,4,2.743308801775148,2000.0
1250,1202,5.803305711485343,0.3919279983683791,77.7493,412.0,1.0,3,2.7389006841046504,1500.0
199,200,3.8754376058723885,2.9459442804758647,16.94032,51.8,1.0,5,2.733958326491715,2500.0
209,200,3.634970900003215,3.2445846126016176,113.3413469387755,305.1224489795918,0.9795918367346939,49,2.7212412948021796,24000.0
565,562,2.5659307953950807,4.861393777235283,11.797860714285715,35.267857142857146,0.7857142857142857,56,2.720504737042903,22000.0
3,652,4.5316734417344176,1.9981612128748316,52.518966666666664,181.66666666666666,1.0,3,2.7121177405562165,1500.0
1024,1016,3.839475017735887,2.9604151559914054,11.989878260869565,41.52173913043478,0.9565217391304348,23,2.710871075630907,11000.0
563,564,4.628135514560854,1.8397067067509483,15.2264,70.0,1.0,13,2.703166217849626,6500.0
1023,1009,6.0,0.0,10.0476,48.0,1.0,2,2.7,1000.0
560,562,4.331770833333334,2.2130918911463398,14.7167,64.0,1.0,8,2.696635900677235,4000.0
605,598,4.527198455139632,1.9501652874374755,12.358011764705882,42.44117647058823,1.0,34,2.6959289682870953,17000.0
796,782,3.5193678086578712,3.278109401769701,59.822860000000006,147.75,1.0,20,2.691179943994059,10000.0
1033,1017,2.8,4.22711776859504,11.90192,31.6,1.0,5,2.688135330578512,2500.0
1219,1193,3.865948964793856,2.70736780320618,24.79915375,100.225,1.0,80,2.6585899268793964,40000.0
1118,1106,3.3466662141011354,3.458799325869076,28.4498306122449,88.3265306122449,0.9387755102040817,49,2.6579389364624015,23000.0
1380,1377,4.55129018592663,1.7561152312424753,42.805757692307694,137.3846153846154,1.0,26,2.647350643743395,13000.0
196,178,3.0941120611527695,3.8335141364358227,43.90499047619047,114.80952380952381,0.8571428571428571,21,2.6448419225347117,9000.0
394,392,3.7709642452905245,2.7486268868950106,94.71007142857142,276.35714285714283,1.0,14,2.632973764184713,7000.0
1356,1332,5.133730530518659,0.8642103590600407,25.270087500000002,130.0625,1.0,16,2.612755319925476,8000.0
1114,1100,3.368181818181818,3.2165702479338854,33.6392,97.5,1.0,2,2.612243801652893,1000.0
189,187,3.0775241880770885,3.581479396209593,32.636594736842106,94.26315789473684,1.0,19,2.6054534940937133,9500.0
561,558,3.705306340256788,2.737016439660806,25.5681875,68.5,1.0,8,2.603227468000957,4000.0
