node,in_degree,out_degree,betweenness,pagerank,bottleneck_score,estimated_delay_cost
879.0,2,2,0.007996509014076579,0.0004294734373178615,0.6033274456368259,6033.274456368259
1119.0,1,2,0.007436805625094923,0.0010364444746622016,0.6032856555924366,6032.856555924366
1342.0,3,2,0.007578183376124446,0.0006026010631331999,0.6032120536693897,6032.120536693897
1121.0,1,2,0.007486299277399887,0.0004250290128075284,0.6031220284148022,6031.220284148022
659.0,1,2,0.007447480934478498,0.0003551920667174771,0.6030855499938066,6030.855499938066
940.0,1,2,0.00761220282443154,0.00012517000997390806,0.6030824321327648,6030.824321327648
237.0,1,2,0.007519476713892929,0.00021939598592065284,0.6030736094813334,6030.736094813334
1310.0,4,2,0.007239037180185619,0.0005832421082023917,0.6030705875045349,6030.705875045349
745.0,3,2,0.00125478252375935,0.0085290468449814,0.6030606270629981,6030.606270629981
730.0,3,2,0.007197652929108523,0.0005070185343249197,0.6030311667319409,6030.311667319409
1339.0,2,2,0.0069210423138631625,0.0007016609283667729,0.6029789152040552,6029.789152040552
1181.0,2,2,0.006875780899729649,0.00043417429173198986,0.6028805646474115,6028.805646474115
1074.0,2,2,0.006786942808687607,0.0004038216243726668,0.6028359236107869,6028.359236107869
314.0,1,2,0.006580711128291135,0.00018545327212978916,0.6026879204329554,6026.879204329553
1206.0,1,2,0.006300580909287558,0.0005093847459762811,0.6026730477875079,6026.730477875079
385.0,1,2,0.006168776514115775,0.0006527989668808949,0.6026633502957106,6026.633502957106
375.0,4,2,0.006015484881925438,0.0008556208470073475,0.6026628802068723,6026.628802068723
844.0,1,2,0.006451267170251164,0.00013292558624371416,0.6026203845439736,6026.203845439736
1327.0,1,2,0.00626159039599069,0.0003646140351346855,0.6026140203689366,6026.140203689366
877.0,1,2,0.00635195752813105,0.00014941941332835448,0.6025856088352509,6025.856088352509
1163.0,3,2,0.005626533780483321,0.0010514329857436754,0.6025660434079164,6025.660434079165
300.0,2,2,0.004778119893804493,0.0021002737351327435,0.6025413300780615,6025.413300780616
436.0,3,2,0.005707855080957398,0.0007754970752362305,0.6025157911549538,6025.157911549538
1290.0,1,2,0.005471679235496859,0.0010730383984752854,0.6025105832137413,6025.105832137413
1366.0,3,2,0.0057334906922118425,0.0005011023927934681,0.6024437269947227,6024.437269947227
779.0,1,2,0.005833884806159158,0.00023407267265023108,0.6024037757242587,6024.037757242588
1170.0,1,2,0.005557618007952052,0.00038346985979486654,0.6023380881611192,6023.380881611192
1237.0,3,2,0.005261435206198117,0.000731226969952606,0.602323942173465,6023.23942173465
1279.0,1,2,0.004830824528558031,0.0007302881920760251,0.602151416269046,6021.51416269046
1328.0,2,2,0.004940305805457564,0.00046944765330984606,0.602116956618176,6021.16956618176
874.0,2,2,0.005078845592882086,0.0002840585343801472,0.6021167557974668,6021.167557974668
299.0,1,2,0.004306955762131487,0.0009629080842076079,0.6020116547301149,6020.116547301149
831.0,1,2,0.0047297749223198385,0.0003074752424454173,0.6019841525416615,6019.841525416615
1402.0,2,2,0.004640444701510935,0.00042351464296910737,0.601983232273495,6019.83232273495
1199.0,2,2,0.004566094620790651,0.00048267886570631507,0.6019712415080282,6019.712415080282
